expense_intent,expense,transaction_value
Bank Transfers,I made a bank transfer and this was the side of the transaction that received the funds (I own both accounts). Rs 900,900
Bank Transfers,Transfer from checking account to savings account. Rs 139.56,139.56
Entertainment,This is for a magazine subscription. Rs 2,2
Entertainment,I paid for my Disney Plus subscription. Rs 8.47,8.47
Entertainment,Purchase of concert tickets. Rs 133.16,133.16
Entertainment,Video game in-app purchase. Rs 3.18,3.18
Entertainment,This is for my Disney Plus membership. Rs 8.8,8.8
Bank Transfers,Money that I put into an IRA on the Alto app. Rs 10,10
Entertainment,A payment made while at a museum for my children to go on a special ride. Rs 9,9
Entertainment,Money I paid to the UK National Lottery website to buy a ticket. Rs 5,5
Entertainment,Monthly Netflix fee. Rs 9.99,9.99
Entertainment,This is entry for two people into a water park/public pool. Rs 26,26
Bank Transfers,Transfer between checking accounts. Rs 35,35
Entertainment,Money spent at a bowling alley during a family outing. Rs 19.97,19.97
Entertainment,This is my monthly HBO Max subscription payment. Rs 14.99,14.99
Bank Transfers,Fee incurred when cashing a mobile check and needing funds immediately. Rs 15,15
Bank Transfers,Refunded for an incorrect transaction. Rs 12.73,12.73
Bank Transfers,Reimbursement from Ally for ATM fees from other banks. Rs 10,10
Bank Transfers,Reimbursed for ATM fees. Rs 3.5,3.5
Bank Transfers,Fee for a foreign transaction. Rs 0.29,0.29
Bank Transfers,ATM withdrawal. Rs 30,30
Bank Transfers,Invested $100 dollars with Ground Floor for real estate investments. Rs 100,100
Bank Transfers,This is a Banking Reward for using a restaurant they listed for the month. Rs 1.92,1.92
Bank Transfers,I got a NSF fee for not having enough funds in my account. Rs 25,25
Entertainment,I bought something in a video game. Rs 0.99,0.99
Entertainment,In-app purchase. Rs 3.18,3.18
Bank Transfers,Reimbursement from a friend. Rs 24.56,24.56
Bank Transfers,Instant transfer from Venmo. Rs 4.75,4.75
Bank Transfers,Transfer from a different checking account. Rs 500,500
Bank Transfers,Transfer cash in from Paypal to my checking account. Rs 20,20
Bank Transfers,Received money from a friend via Zelle. Rs 45,45
Bank Transfers,Withdrawal of cash from bank ATM. Rs 240,240
Bank Transfers,Money used to buy some cryptocurrency via paypal. Rs 254.5,254.5
Bank Transfers,A payment from a friend made through Paypal. Rs 5.59,5.59
Bank Transfers,Money transferred to my daughter's account on behalf of someone else as a Christmas present. Rs 25,25
Bank Transfers,Transfer from my savings account to my checking for expenses. Rs 200,200
Bank Transfers,Sent a friend money on Cash App. Rs 18,18
Bank Transfers,Money sent by my wife to pay for a transaction made on my credit card. Rs 40,40
Bank Transfers,Payment on Cash App to a friend of money that he lent me. Rs 10,10
Bank Transfers,Fees reimbursed. Rs 3,3
Bank Transfers,Transferred money from my Cash App account to my bank. Rs 39.3,39.3
Bank Transfers,I got paid for some freelance work. Rs 57.33,57.33
Bank Transfers,Fee incurred due to international purchase. Rs 0.37,0.37
Entertainment,This is for the HBO Max streaming service. Rs 16.5,16.5
Bank Transfers,I got charged for an accidental cash withdrawal. Rs 10,10
Bank Transfers,ATM fees. Rs 5,5
Bank Transfers,I received an instant transfer from Cash App. Rs 68.78,68.78
Bank Transfers,Sent money to a friend. Rs 100,100
Bank Transfers,ATM Withdrawal. Rs 63.25,63.25
Bank Transfers,Sent money to my brother. Rs 23.45,23.45
Bank Transfers,Paypal payment transfer. Rs 5.46,5.46
Entertainment,Siriusxm payment. Rs 24.74,24.74
Bank Transfers,Received $60 from a friend as a reimbursement. Rs 60,60
Entertainment,An annual membership subscription cost. Rs 54.95,54.95
Bank Transfers,ATM withdrawal from TD Bank. Rs 120,120
Bank Transfers,Monthly fees associated with the account. Rs 7,7
Entertainment,This is a payment for my Netflix subscription. Rs 19.99,19.99
Entertainment,Peacock streaming service add on Fee (monthly premium). Rs 5,5
Bank Transfers,Automatic funds transfer to a Stash investment account. Rs 5,5
Entertainment,Monthly automatic premium Spotify payment. Rs 10.69,10.69
Entertainment,This was for my Amazon Prime membership. Rs 6.59,6.59
Entertainment,I bought a CD. Rs 13.24,13.24
Entertainment,I paid for my Netflix subscription. Rs 16.79,16.79
Entertainment,A family visit to a children's place centre. Rs 28.5,28.5
Entertainment,Movie Rental. Rs 5.34,5.34
