transaction_value,transaction_value,expense_intent
1.99,This is a charge for a film streamed via Amazon Prime Video.,Entertainment / TV and movies
10.69,Monthly Spotify subscription service.,Entertainment / Music
4.99,Streaming service charges.,Entertainment / TV and movies
19.81,This is for the Netflix streaming service.,Entertainment / TV and movies
16.57,Paid monthly subscription to Netflix.,Entertainment / TV and movies
4.99,Money spent on a video game.,Entertainment / Video games
10,Electronic transfer of $10 to TD Ameritrade.,"Bank Transfers / Transfers to checking, savings, retirement accounts and other investment accounts"
300,I transferred funds to another checking account.,"Bank Transfers / Transfers to checking, savings, retirement accounts and other investment accounts"
24.95,Monthly membership for online gaming site.,Entertainment / Video games
250,Transfer from one checking account to another.,"Bank Transfers / Transfers to checking, savings, retirement accounts and other investment accounts"
100,Transfer money from savings to checking.,"Bank Transfers / Transfers to checking, savings, retirement accounts and other investment accounts"
4.99,Fees for Paramount+ streaming service.,Entertainment / TV and movies
11.3,Recurring Spotify monthly subscription fee.,Entertainment / Music
5.49,I paid for a streaming service off of Prime Video that wasn't Prime Video.,Entertainment / TV and movies
64.99,Youtube TV monthly streaming service.,Entertainment / TV and movies
"1,101.20",I transferred money into another account.,"Bank Transfers / Transfers to checking, savings, retirement accounts and other investment accounts"
900,I made a bank transfer and this was the side of the transaction that received the funds (I own both accounts).,"Bank Transfers / Transfers to checking, savings, retirement accounts and other investment accounts"
139.56,Transfer from checking account to savings account.,"Bank Transfers / Transfers to checking, savings, retirement accounts and other investment accounts"
2,This is for a magazine subscription.,Entertainment / Other
8.47,I paid for my Disney Plus subscription.,Entertainment / TV and movies
133.16,Purchase of concert tickets.,Entertainment / Music
3.18,Video game in-app purchase.,Entertainment / Video games
8.8,This is for my Disney Plus membership.,Entertainment / TV and movies
10,Money that I put into an IRA on the Alto app.,"Bank Transfers / Transfers to checking, savings, retirement accounts and other investment accounts"
9,A payment made while at a museum for my children to go on a special ride.,Entertainment / Amusement Parks
5,Money I paid to the UK National Lottery website to buy a ticket.,Entertainment / Casinos and gambling
9.99,Monthly Netflix fee.,Entertainment / TV and movies
26,This is entry for two people into a water park/public pool.,Entertainment / Amusement Parks
35,Transfer between checking accounts.,"Bank Transfers / Transfers to checking, savings, retirement accounts and other investment accounts"
19.97,Money spent at a bowling alley during a family outing.,Entertainment / Other
14.99,This is my monthly HBO Max subscription payment.,Entertainment / TV and movies
15,Fee incurred when cashing a mobile check and needing funds immediately.,Bank Transfers / Other bank fees
12.73,Refunded for an incorrect transaction.,Bank Transfers / Bank refunds
10,Reimbursement from Ally for ATM fees from other banks.,Bank Transfers / ATM fees
3.5,Reimbursed for ATM fees.,Bank Transfers / ATM fees
0.29,Fee for a foreign transaction.,Bank Transfers / Foreign transaction fees
30,ATM withdrawal.,Bank Transfers / ATM withdrawals
100,Invested $100 dollars with Ground Floor for real estate investments.,"Bank Transfers / Transfers to checking, savings, retirement accounts and other investment accounts"
1.92,This is a Banking Reward for using a restaurant they listed for the month.,Bank Transfers / Banking rewards
25,I got a NSF fee for not having enough funds in my account.,Bank Transfers / Overdraft fees
0.99,I bought something in a video game.,Entertainment / Video games
3.18,In-app purchase.,Entertainment / Video games
24.56,Reimbursement from a friend.,"Bank Transfers / Third-party transfers (Zelle, Paypal, Venmo)"
4.75,Instant transfer from Venmo.,"Bank Transfers / Third-party transfers (Zelle, Paypal, Venmo)"
500,Transfer from a different checking account.,"Bank Transfers / Transfers to checking, savings, retirement accounts and other investment accounts"
20,Transfer cash in from Paypal to my checking account.,"Bank Transfers / Third-party transfers (Zelle, Paypal, Venmo)"
45,Received money from a friend via Zelle.,"Bank Transfers / Third-party transfers (Zelle, Paypal, Venmo)"
240,Withdrawal of cash from bank ATM.,Bank Transfers / ATM withdrawals
254.5,Money used to buy some cryptocurrency via paypal.,"Bank Transfers / Transfers to checking, savings, retirement accounts and other investment accounts"
5.59,A payment from a friend made through Paypal.,"Bank Transfers / Third-party transfers (Zelle, Paypal, Venmo)"
25,Money transferred to my daughter's account on behalf of someone else as a Christmas present.,"Bank Transfers / Transfers to checking, savings, retirement accounts and other investment accounts"
200,Transfer from my savings account to my checking for expenses.,"Bank Transfers / Transfers to checking, savings, retirement accounts and other investment accounts"
18,Sent a friend money on Cash App.,"Bank Transfers / Third-party transfers (Zelle, Paypal, Venmo)"
40,Money sent by my wife to pay for a transaction made on my credit card.,"Bank Transfers / Third-party transfers (Zelle, Paypal, Venmo)"
10,Payment on Cash App to a friend of money that he lent me.,"Bank Transfers / Third-party transfers (Zelle, Paypal, Venmo)"
3,Fees reimbursed.,Bank Transfers / ATM fees
39.3,Transferred money from my Cash App account to my bank.,"Bank Transfers / Third-party transfers (Zelle, Paypal, Venmo)"
57.33,I got paid for some freelance work.,"Bank Transfers / Third-party transfers (Zelle, Paypal, Venmo)"
0.37,Fee incurred due to international purchase.,Bank Transfers / Foreign transaction fees
16.5,This is for the HBO Max streaming service.,Entertainment / TV and movies
10,I got charged for an accidental cash withdrawal.,Bank Transfers / Overdraft fees
5,ATM fees.,Bank Transfers / ATM fees
68.78,I received an instant transfer from Cash App.,"Bank Transfers / Third-party transfers (Zelle, Paypal, Venmo)"
100,Sent money to a friend.,"Bank Transfers / Third-party transfers (Zelle, Paypal, Venmo)"
63.25,ATM Withdrawal.,Bank Transfers / ATM withdrawals
23.45,Sent money to my brother.,"Bank Transfers / Third-party transfers (Zelle, Paypal, Venmo)"
5.46,Paypal payment transfer.,"Bank Transfers / Third-party transfers (Zelle, Paypal, Venmo)"
24.74,Siriusxm payment.,Entertainment / Music
60,Received $60 from a friend as a reimbursement.,"Bank Transfers / Third-party transfers (Zelle, Paypal, Venmo)"
54.95,An annual membership subscription cost.,Entertainment / Other
120,ATM withdrawal from TD Bank.,Bank Transfers / ATM withdrawals
7,Monthly fees associated with the account.,Bank Transfers / Other bank fees
19.99,This is a payment for my Netflix subscription.,Entertainment / TV and movies
5,Peacock streaming service add on Fee (monthly premium).,Entertainment / TV and movies
5,Automatic funds transfer to a Stash investment account.,"Bank Transfers / Transfers to checking, savings, retirement accounts and other investment accounts"
10.69,Monthly automatic premium Spotify payment.,Entertainment / Music
6.59,This was for my Amazon Prime membership.,Entertainment / TV and movies
13.24,I bought a CD.,Entertainment / Music
16.79,I paid for my Netflix subscription.,Entertainment / TV and movies
28.5,A family visit to a children's place centre.,Entertainment / Amusement Parks
5.34,Movie Rental.,Entertainment / TV and movies
